Development_Start_Date,Purchased_Date,City,Locality,Property_Type,Developer_Name,Year_Of_Esablishment,CEO,Number_Of_Employees,Service_Amount,Rating,Investor_Name,CITY_Investors,sq_ft_cost,PURCHASE_AMOUNT,AREA_PURCHASED
05-Apr-12,24-Apr-12,MUMBAI,VASAI,Residential,RGCM,1812,Mrs. Stacy Haag,5351,0.99,D,Eldon Predovic,kolhapur,4269,26076333,6170
06-Apr-12,25-Apr-12,MUMBAI,JUHU,Residential,Lorne Stewart,1916,Lonnie Stroman DDS,4433,0.23,C,Gregoria Hettinger,ajmer,30167,50900176,7336
07-Apr-12,26-Apr-12,MUMBAI,AIROLI,Residential,GSH Group,1834,Gabriella Schimmel MD,9597,0.97,A,Mabelle Bosco I,gulbarga,21585,165636167,7911
08-Apr-12,27-Apr-12,DELHI,Mayur Vihar,Commercial,Longcross,1961,Malachi Larson,8600,0.28,D,Pink Guªann,jamnagar,9500,23727200,8920
09-Apr-12,28-Apr-12,DELHI,Chanakyapuri,Commercial,Higgins ,1840,Joshua Dickens,2322,0.07,C,Miss Pink Abbott,ujjain,51000,33304530,9329
10-Apr-12,29-Apr-12,DELHI,Vasant Kunj,Commercial,Carey Group ,1938,Melvina Veum,2757,0.88,D,Javier Jaskolski,loni,17900,102246232,6491
11-Apr-12,30-Apr-12,DELHI,Saket,Commercial,Malcolm Group,1962,Demond Ward,3028,0.84,E,Ashleigh Nikolaus,siliguri,2200,10411632,5634
12-Apr-12,01-May-12,DELHI,Pithampura,Commercial,United House,1959,Estel Botsford,1728,0.64,B,Shaniya Frami,jhansi,31200,184364544,9233
13-Apr-12,02-May-12,DELHI,Mayur Vihar,Residential,Teighmore,1950,Lane Kessler,3588,0.74,A,Wiley Reinger,ulhasnagar,8500,41922850,6665
14-Apr-12,03-May-12,DELHI,Chanakyapuri,Residential,Teighmore,1950,Lane Kessler,3588,0.74,A,Sophie Spinka V,nellore,50000,259407000,7011
15-Apr-12,04-May-12,DELHI,Vasant Kunj,Residential,Teighmore,1950,Lane Kessler,3588,0.74,A,Cynthia Rogahn PhD,jammu,16100,103520746,8689
16-Apr-12,05-May-12,DELHI,Saket,Residential,Teighmore,1950,Lane Kessler,3588,0.74,A,Lucy Huels,sangli-miraj & kupwad,18700,79859098,5771
17-Apr-12,06-May-12,DELHI,Pithampura,Residential,Teighmore,1950,Lane Kessler,3588,0.74,A,Darron Ortiz DVM,belgaum,31000,140117520,6108
18-Apr-12,07-May-12,HYDERABAD,KUKATPALLY,Commercial,Teighmore,1950,Lane Kessler,3588,0.74,A,Kristin Rice PhD,mangalore,3102,13662697,5952
19-Apr-12,08-May-12,HYDERABAD,JUBLIEE HILLS,Commercial,T Clarke,1907,Wilson Botsford,4465,0.08,D,Parker Emard,ambattur,9448,6509294,8612
20-Apr-12,09-May-12,HYDERABAD,BANJARA HILLS,Commercial,Buckingham ,1914,Roger Rempel,2994,0.69,E,Ms. Ryan Johnson,tirunelveli,77475,369820715,6918
21-Apr-12,10-May-12,HYDERABAD,KONDAPUR,Commercial,Eric Wright Group,1902,Wava Considine,8444,0.21,B,Rachel Kiehn Jr.,melagaon,23075,46000705,9493
22-Apr-12,11-May-12,HYDERABAD,MIYAPUR,Commercial,SGN Contracting,1960,Kasandra Braun,1617,0.7,A,Maudie Paucek,gaya,2700,10544310,5579
23-Apr-12,12-May-12,KOLKATA,Tollygunge,Commercial,Midas,1984,Elta Cartwright,8927,0.61,D,Holly Pouros,jalgaon,4415,16500930,6127
24-Apr-12,13-May-12,KOLKATA,Ballygunge,Commercial,City Building (Glasgow),1918,Casimir Ritchie V,1315,0.5,C,Gayle Friesen,udaipur,9309,25311171,5438
25-Apr-12,14-May-12,KOLKATA,New Alipore,Residential,Dawnus,1964,Dale Turcotte I,8295,0.72,D,Litzy Dicki,maheshtala,5729,35997828,8727
26-Apr-12,15-May-12,KOLKATA,Salt Lake,Residential,William Hare,1969,Tiffany Hudson,6016,0.37,A,Laurence Miller,tirupur,8160,28727688,9515
27-Apr-12,16-May-12,KOLKATA,Dum Dum,Residential,McNicholas Construction,1872,Arnold Weissnat DVM,7089,0.71,D,Madaline Murazik,davanagere,3025,16795405,7820
28-Apr-12,17-May-12,KOLKATA,Tollygunge,Residential,Teighmore,1950,Lane Kessler,3588,0.74,A,Eva Luettgen,kozhikode,4197,28228434,9089
29-Apr-12,18-May-12,KOLKATA,Ballygunge,Residential,Teighmore,1950,Lane Kessler,3588,0.74,A,Shannon Batz,akola,8982,66347160,9982
30-Apr-12,19-May-12,PUNE,Aundh,Commercial,Teighmore,1950,Lane Kessler,3588,0.74,A,Charlotte Lindgren,kurnool,6945,41582076,8091
01-May-12,20-May-12,PUNE,Kalyani Nagar,Commercial,Teighmore,1950,Lane Kessler,3588,0.74,A,Elsie Cummings,rajpur sonarpur,7286,33180153,6154
02-May-12,21-May-12,PUNE,Hinjewadi,Commercial,Teighmore,1950,Lane Kessler,3588,0.74,A,Miss Otha Pagac,bokaro,4269,24586964,7783
03-May-12,22-May-12,PUNE,Koregaon Park,Commercial,Teighmore,1950,Lane Kessler,3588,0.74,A,Destiny Abernathy,south dumdum,8185,34815061,5748
04-May-12,23-May-12,PUNE,Magarpatta,Commercial,Teighmore,1950,Lane Kessler,3588,0.74,A,Ruthie Emmerich,bellary,5508,29900949,7336
05-May-12,24-May-12,PUNE,Aundh,Residential,Teighmore,1950,Lane Kessler,3588,0.74,A,Mariana Buckridge,patiala,9290,48362811,7035
06-May-12,25-May-12,PUNE,Kalyani Nagar,Residential,Teighmore,1950,Lane Kessler,3588,0.74,A,Maverick Douglas,gopalpur,8155,58983158,9774
07-May-12,26-May-12,PUNE,Hinjewadi,Residential,Teighmore,1950,Lane Kessler,3588,0.74,A,Rebeca Jenkins,agartala,3850,23524193,8257
08-May-12,27-May-12,PUNE,Koregaon Park,Residential,T Clarke,1907,Wilson Botsford,4465,0.08,D,Marilie Torphy,bhagalpur,7513,5119058,8517
09-May-12,28-May-12,PUNE,Magarpatta,Residential,Buckingham ,1914,Roger Rempel,2994,0.69,E,Grady Kohler,muzaffarnagar,5128,21102540,5964
10-May-12,29-May-12,Chennai,T-Nagar,Commercial,Eric Wright Group,1902,Wava Considine,8444,0.21,B,Samson Veum II,bhatpara,13739,20657960,7160
11-May-12,30-May-12,Chennai,Anna Nagar,Commercial,SGN Contracting,1960,Kasandra Braun,1617,0.7,A,Mrs. Sandy Harvey,panihati,32518,172904710,7596
12-May-12,31-May-12,Chennai,Adyar,Commercial,Carey Group ,1938,Melvina Veum,2757,0.88,D,Emilia Williamson,latur,28577,185942537,7394
13-May-12,01-Jun-12,Chennai,Porur,Commercial,Malcolm Group,1962,Demond Ward,3028,0.84,E,Melisa Barton I,dhule,4493,19889612,5270
14-May-12,02-Jun-12,Chennai,OMR,Commercial,United House,1959,Estel Botsford,1728,0.64,B,Ms. Horacio Thompson,rohtak,3419,18328028,8376
15-May-12,03-Jun-12,Chennai,T-Nagar,Residential,Teighmore,1950,Lane Kessler,3588,0.74,A,Mr. Patsy Stamm,korba,70584,418901923,8020
16-May-12,04-Jun-12,Chennai,Anna Nagar,Residential,Malcolm Group,1962,Demond Ward,3028,0.84,E,Lenna Kulas,bhilwara,8406,37296413,5282
17-May-12,05-Jun-12,Chennai,Adyar,Residential,United House,1959,Estel Botsford,1728,0.64,B,Reanna Rohan,brahmapur,9790,43815341,6993
18-May-12,06-Jun-12,Chennai,Porur,Residential,Teighmore,1950,Lane Kessler,3588,0.74,A,Assunta Reinger,muzaffarpur,4321,30069666,9404
19-May-12,07-Jun-12,Chennai,OMR,Residential,Teighmore,1950,Lane Kessler,3588,0.74,A,Nora Boehm,ahmednagar,3897,25881926,8975
20-May-12,08-Jun-12,KOLKATA,New Alipore,Commercial,Teighmore,1950,Lane Kessler,3588,0.74,A,Piper Heathcote,mathura,6036,44385002,9937
21-May-12,09-Jun-12,KOLKATA,Salt Lake,Commercial,Teighmore,1950,Lane Kessler,3588,0.74,A,Autumn Hickle,kollam,5548,28085862,6841
22-May-12,10-Jun-12,KOLKATA,Dum Dum,Commercial,Teighmore,1950,Lane Kessler,3588,0.74,A,Connie Cronin PhD,avadi,2934,10933962,5036
23-May-12,11-Jun-12,KOLKATA,Tollygunge,Commercial,Teighmore,1950,Lane Kessler,3588,0.74,A,Zora Sanford,rajamundry,4415,29377763,8992
24-May-12,12-Jun-12,KOLKATA,Ballygunge,Commercial,Teighmore,1950,Lane Kessler,3588,0.74,A,Keara Harvey,kadapa,9309,55557043,8065
25-May-12,13-Jun-12,KOLKATA,New Alipore,Residential,Teighmore,1950,Lane Kessler,3588,0.74,A,Carlie Ledner,kamarhati,5729,33462058,7893
26-May-12,14-Jun-12,KOLKATA,Salt Lake,Residential,Teighmore,1950,Lane Kessler,3588,0.74,A,Stan Kiehn,bilaspur,8160,43017562,7124
27-May-12,15-Jun-12,KOLKATA,Dum Dum,Residential,Teighmore,1950,Lane Kessler,3588,0.74,A,Kayli Mertz,shahjahanpur,3025,19275724,8611
28-May-12,16-Jun-12,KOLKATA,Tollygunge,Residential,Teighmore,1950,Lane Kessler,3588,0.74,A,Mr. Scottie Mann,bijapur,4197,24479758,7882
29-May-12,17-Jun-12,KOLKATA,Ballygunge,Residential,Teighmore,1950,Lane Kessler,3588,0.74,A,Cathryn Runolfsson,rampur,8982,57314322,8623
30-May-12,18-Jun-12,PUNE,Aundh,Commercial,Teighmore,1950,Lane Kessler,3588,0.74,A,Hobart Langworth,shivamogga,6945,28661876,5577
31-May-12,19-Jun-12,PUNE,Kalyani Nagar,Commercial,Teighmore,1950,Lane Kessler,3588,0.74,A,Glen Carroll,chandrapur,7286,41073514,7618
01-Jun-12,20-Jun-12,PUNE,Hinjewadi,Commercial,Teighmore,1950,Lane Kessler,3588,0.74,A,Queenie Deckow,junagadh,4269,16569270,5245
02-Jun-12,21-Jun-12,PUNE,Koregaon Park,Commercial,Teighmore,1950,Lane Kessler,3588,0.74,A,Diamond Hamill,thrissur,8185,57540550,9500
03-Jun-12,22-Jun-12,PUNE,Magarpatta,Commercial,Teighmore,1950,Lane Kessler,3588,0.74,A,Therese Hoppe Jr.,alwar,5508,22189308,5444
04-Jun-12,23-Jun-12,PUNE,Aundh,Residential,Teighmore,1950,Lane Kessler,3588,0.74,A,Kendall Kiehn,bardhaman,9290,64861851,9435
05-Jun-12,24-Jun-12,PUNE,Kalyani Nagar,Residential,Teighmore,1950,Lane Kessler,3588,0.74,A,Linwood Schinner,kulti,8155,37614285,6233
06-Jun-12,25-Jun-12,PUNE,Hinjewadi,Residential,Teighmore,1950,Lane Kessler,3588,0.74,A,Rosemary Ritchie,kakinada,3850,24495702,8598
07-Jun-12,26-Jun-12,PUNE,Koregaon Park,Residential,Teighmore,1950,Lane Kessler,3588,0.74,A,Mackenzie Murray,nizamabad,7513,52966500,9527
08-Jun-12,27-Jun-12,PUNE,Magarpatta,Residential,Teighmore,1950,Lane Kessler,3588,0.74,A,Conner Bartell,parbhani,5128,31993284,8431
09-Jun-12,28-Jun-12,Chennai,T-Nagar,Commercial,Teighmore,1950,Lane Kessler,3588,0.74,A,Carmel Krajcik,tumkur,13739,77725645,7645
10-Jun-12,29-Jun-12,Chennai,Anna Nagar,Commercial,Teighmore,1950,Lane Kessler,3588,0.74,A,Sandy Rohan,hisar,32518,185239437,7698
11-Jun-12,30-Jun-12,Chennai,Adyar,Commercial,Teighmore,1950,Lane Kessler,3588,0.74,A,Emory Leuschke,ozhukarai,22622,89610719,5353
12-Jun-12,01-Jul-12,Chennai,Porur,Commercial,T Clarke,1907,Wilson Botsford,4465,0.08,D,Celestine Kemmer,bihar sharif,4988,2392644,5996
13-Jun-12,02-Jul-12,Chennai,OMR,Commercial,Buckingham ,1914,Roger Rempel,2994,0.69,E,Yasmeen Aufderhar,panipat,3559,13904230,5662
14-Jun-12,03-Jul-12,Chennai,T-Nagar,Residential,Eric Wright Group,1902,Wava Considine,8444,0.21,B,Judy Boehm IV,darbhanga,10156,18079407,8477
15-Jun-12,04-Jul-12,Chennai,Anna Nagar,Residential,SGN Contracting,1960,Kasandra Braun,1617,0.7,A,Jermaine Murazik,bally,8043,47073266,8361
16-Jun-12,05-Jul-12,Chennai,Adyar,Residential,Midas,1984,Elta Cartwright,8927,0.61,D,Grant Leannon,aizwal,10467,49699828,7784
17-Jun-12,06-Jul-12,Chennai,Porur,Residential,City Building (Glasgow),1918,Casimir Ritchie V,1315,0.5,C,Ms. Cali Schroeder,dewas,4574,16939809,7407
18-Jun-12,07-Jul-12,Chennai,OMR,Residential,Dawnus,1964,Dale Turcotte I,8295,0.72,D,Mrs. Gilda Bauch,ichalkaranji,4122,18287830,6162
19-Jun-12,08-Jul-12,KOLKATA,New Alipore,Commercial,William Hare,1969,Tiffany Hudson,6016,0.37,A,Casandra Crona,tirupati,6619,23180069,9465
20-Jun-12,09-Jul-12,KOLKATA,Salt Lake,Commercial,McNicholas Construction,1872,Arnold Weissnat DVM,7089,0.71,D,Stephany Sporer,karnal,5290,33705447,8974
21-Jun-12,10-Jul-12,KOLKATA,Dum Dum,Commercial,ESH Holdings,1849,Miss Kaci Hodkiewicz,7219,0.61,C,Brenda Buckridge,bathinda,2974,17502823,9648
22-Jun-12,11-Jul-12,KOLKATA,Tollygunge,Commercial,North Midland Construction,1857,Haleigh DuBuque V,6986,0.27,B,Josiah Hahn,jalna,4640,8486467,6774
23-Jun-12,12-Jul-12,KOLKATA,Ballygunge,Commercial,Ogilvie Group,1862,Gisselle Yost Jr.,9196,0.82,D,Providenci Nikolaus,barasat,10487,45008946,5234
24-Jun-12,13-Jul-12,KOLKATA,New Alipore,Residential,Barr ,1841,Rosalinda Pacocha,2233,0.52,B,Rashad Cummerata,kirari suleman nagar,6219,32063920,9915
25-Jun-12,14-Jul-12,KOLKATA,Salt Lake,Residential,Forth Holdings,1915,Johnny Pagac,9881,0.4,D,Jakayla Dooley,purnia,7764,16416202,5286
26-Jun-12,15-Jul-12,KOLKATA,Dum Dum,Residential,Bechtel,1809,Rafaela Hintz DVM,1909,0.28,E,Barton Luettgen,satna,3341,5515590,5896
27-Jun-12,16-Jul-12,KOLKATA,Tollygunge,Residential,GB Building Solutions,1891,Gordon Sauer DVM,5880,0.98,A,Vivien Schaden,mau,4386,22862551,5319
28-Jun-12,17-Jul-12,KOLKATA,Ballygunge,Residential,Winvic Group ,1865,Carmela Ryan,5565,0.93,C,Tiara Walker,sonipat,10257,82741373,8674
29-Jun-12,18-Jul-12,PUNE,Aundh,Commercial,Lakehouse Contracts,1969,Laisha Bins MD,6540,0.19,B,D'angelo Medhurst,farrukhabad,7138,11415304,8417
30-Jun-12,19-Jul-12,PUNE,Kalyani Nagar,Commercial,Winvic Group ,1865,Carmela Ryan,5565,0.93,C,Alessandro Effertz,sagar,7992,73522884,9892
01-Jul-12,20-Jul-12,PUNE,Hinjewadi,Commercial,Winvic Group ,1865,Carmela Ryan,5565,0.93,C,Ashton Beier III,rourkela,5019,42825872,9175
02-Jul-12,21-Jul-12,PUNE,Koregaon Park,Commercial,Winvic Group ,1865,Carmela Ryan,5565,0.93,C,John Thompson,durgapur,8849,51550026,6264
03-Jul-12,22-Jul-12,PUNE,Magarpatta,Commercial,Winvic Group ,1865,Carmela Ryan,5565,0.93,C,Peyton Hilpert,imphal,5925,32504965,5899
04-Jul-12,23-Jul-12,PUNE,Aundh,Residential,Winvic Group ,1865,Carmela Ryan,5565,0.93,C,Lois Frami,ratlam,8307,42304893,5476
05-Jul-12,24-Jul-12,PUNE,Kalyani Nagar,Residential,Winvic Group ,1865,Carmela Ryan,5565,0.93,C,Jeanette Johnson,hapur,8475,61911146,7855
06-Jul-12,25-Jul-12,PUNE,Hinjewadi,Residential,Winvic Group ,1865,Carmela Ryan,5565,0.93,C,Dario Prohaska,anantapur,4519,33306160,7925
07-Jul-12,26-Jul-12,PUNE,Koregaon Park,Residential,Winvic Group ,1865,Carmela Ryan,5565,0.93,C,Lindsay Bradtke,arrah,8593,54709741,6846
08-Jul-12,27-Jul-12,PUNE,Magarpatta,Residential,Winvic Group ,1865,Carmela Ryan,5565,0.93,C,Nichole Miller IV,karimnagar,5587,33259020,6401
09-Jul-12,28-Jul-12,Chennai,T-Nagar,Commercial,Winvic Group ,1865,Carmela Ryan,5565,0.93,C,Arnold Weissnat,etawah,14952,134409210,9666
10-Jul-12,29-Jul-12,Chennai,Anna Nagar,Commercial,Winvic Group ,1865,Carmela Ryan,5565,0.93,C,Tiana Dare,ambernath,25329,170262551,7228
11-Jul-12,30-Jul-12,Chennai,Adyar,Commercial,Winvic Group ,1865,Carmela Ryan,5565,0.93,C,Antoinette Walter,north dumdum,22622,181035948,8605
12-Jul-12,31-Jul-12,Chennai,Porur,Commercial,Winvic Group ,1865,Carmela Ryan,5565,0.93,C,Ilene Smith,bharatpur,4988,46230679,9966
13-Jul-12,01-Aug-12,Chennai,OMR,Commercial,Winvic Group ,1865,Carmela Ryan,5565,0.93,C,Arthur Cruickshank,begusarai,3559,20193517,6101
14-Jul-12,02-Aug-12,Chennai,T-Nagar,Residential,Winvic Group ,1865,Carmela Ryan,5565,0.93,C,Hobart Barton III,new delhi,10156,75409519,7984
15-Jul-12,03-Aug-12,Chennai,Anna Nagar,Residential,Winvic Group ,1865,Carmela Ryan,5565,0.93,C,Amara Miller,gandhidham,8043,73924741,9883
16-Jul-12,04-Aug-12,Chennai,Adyar,Residential,Winvic Group ,1865,Carmela Ryan,5565,0.93,C,Trisha Cartwright,baranagar,10467,91375968,9387
17-Jul-12,05-Aug-12,Chennai,Porur,Residential,Winvic Group ,1865,Carmela Ryan,5565,0.93,C,Mckayla Labadie,thiruvittiyur,4574,36268069,8526
18-Jul-12,06-Aug-12,Chennai,OMR,Residential,Winvic Group ,1865,Carmela Ryan,5565,0.93,C,Vivianne Rowe I,puducherry,4122,27823253,7258
19-Jul-12,07-Aug-12,DELHI,Mayur Vihar,Commercial,Lakehouse Contracts,1969,Laisha Bins MD,6540,0.19,B,Ms. Karli Rutherford,sikar,9800,16322292,8766
20-Jul-12,08-Aug-12,DELHI,Chanakyapuri,Commercial,Bullock Construction,1844,Chaya Langosh,6738,0.42,D,Hildegard Greenfelder,thoothukudi,53000,198180780,8903
21-Jul-12,09-Aug-12,DELHI,Vasant Kunj,Commercial,McLaughlin & Harvey ,1830,Franco Gaylord,9027,0.57,E,Miss Graham DuBuque,rewa,15900,74570364,8228
22-Jul-12,10-Aug-12,DELHI,Saket,Commercial,Brett Group,1940,Naomie Daniel,1452,0.21,C,Kay Mann,mirzapur,20000,37850400,9012
23-Jul-12,11-Aug-12,DELHI,Pithampura,Commercial,Mulalley,1817,Fletcher Sauer PhD,3414,0.65,B,Chanel Kutch DVM,raichur,32100,208086645,9973
24-Jul-12,12-Aug-12,DELHI,Mayur Vihar,Residential,Mabey,1814,Dereck Simonis V,5578,0.94,A,Grayson Deckow,pali,9100,46884474,5481
25-Jul-12,13-Aug-12,DELHI,Chanakyapuri,Residential,Lagan,1896,Bailey Witting,4545,0.32,D,Willow Lockman,ramagundam,52000,101637120,6108
26-Jul-12,14-Aug-12,DELHI,Vasant Kunj,Residential,Headcrown,1802,Kyra Herman,7357,0.58,E,Trinity Ratke,vizianagaram,15400,70875420,7935
27-Jul-12,15-Aug-12,DELHI,Saket,Residential,Thomas Armstrong ,1869,Carlos Moen DDS,7225,0.91,B,Vida Bauch,katihar,19900,93478658,5162
28-Jul-12,16-Aug-12,DELHI,Pithampura,Residential,Tolent,1917,Miss Clair Greenholt,1334,0.83,C,Linda Swift IV,haridwar,32000,189718080,7143
29-Jul-12,17-Aug-12,HYDERABAD,KUKATPALLY,Commercial,GF Tomlinson,1854,Miss Larue Considine,4473,0.45,D,Margarett Yundt,sri ganganagar,3136,14097888,9990
30-Jul-12,18-Aug-12,HYDERABAD,JUBLIEE HILLS,Commercial,Simpson (York),1878,Nico Beier,6445,0.39,E,Verlie Gulgowski,karawat nagar,10258,30592741,7647
31-Jul-12,19-Aug-12,HYDERABAD,BANJARA HILLS,Commercial,Pyeroy Group,1817,Tito Langworth,7430,0.28,C,Elijah Mraz,nagercoil,68598,149894862,7804
01-Aug-12,20-Aug-12,HYDERABAD,KONDAPUR,Commercial,M.V. Kelly Limited,1868,Lafayette Marquardt,2057,0.45,D,Wilhelm Hodkiewicz,mango,26184,73607152,6247
02-Aug-12,21-Aug-12,HYDERABAD,MIYAPUR,Commercial,Masterson ,1859,Dejon Koelpin,8435,0.27,A,Jaylin Kshlerin II,bulandshahr,2885,4307594,5530
03-Aug-12,22-Aug-12,HYDERABAD,KUKATPALLY,Residential,Winvic Group ,1865,Carmela Ryan,5565,0.93,C,Alexanne Marvin,thanjavur,1987,12410564,6716
04-Aug-12,23-Aug-12,HYDERABAD,JUBLIEE HILLS,Residential,Winvic Group ,1865,Carmela Ryan,5565,0.93,C,Troy Kozey,mumbai,5059,35470015,7539
05-Aug-12,24-Aug-12,HYDERABAD,BANJARA HILLS,Residential,Winvic Group ,1865,Carmela Ryan,5565,0.93,C,Vinnie McLaughlin,delhi,25897,228077469,9470
06-Aug-12,25-Aug-12,HYDERABAD,KONDAPUR,Residential,Winvic Group ,1865,Carmela Ryan,5565,0.93,C,Dax Rippin,bangalore,3304,21524404,7005
07-Aug-12,26-Aug-12,HYDERABAD,MIYAPUR,Residential,Winvic Group ,1865,Carmela Ryan,5565,0.93,C,Elfrieda Hammes,hyderabad,2487,14603714,6314
08-Aug-12,27-Aug-12,BANGALORE,INDIRANAGAR,Commercial,Winvic Group ,1865,Carmela Ryan,5565,0.93,C,Kathryne Schroeder DVM,ahmedabad,11501,64646201,6044
09-Aug-12,28-Aug-12,BANGALORE,JAYANAGAR,Commercial,Winvic Group ,1865,Carmela Ryan,5565,0.93,C,Porter Hahn,chennai,6325,38658147,6572
10-Aug-12,29-Aug-12,BANGALORE,FRAZER TOWN,Commercial,Winvic Group ,1865,Carmela Ryan,5565,0.93,C,Patricia Cartwright,kolkata,6822,50939669,8029
11-Aug-12,30-Aug-12,BANGALORE,HEBBAL,Commercial,Winvic Group ,1865,Carmela Ryan,5565,0.93,C,Dangelo Fritsch,surat,4579,34225323,8037
12-Aug-12,31-Aug-12,BANGALORE,KORAMANGALA,Commercial,Bechtel,1809,Rafaela Hintz DVM,1909,0.28,E,Kenyon Russel,pune,10263,14468777,5035
13-Aug-12,01-Sep-12,BANGALORE,INDIRANAGAR,Residential,GB Building Solutions,1891,Gordon Sauer DVM,5880,0.98,A,Lennie Feil,jaipur,7113,57090361,8190
14-Aug-12,02-Sep-12,BANGALORE,JAYANAGAR,Residential,Winvic Group ,1865,Carmela Ryan,5565,0.93,C,Vito Weissnat,lucknow,102457,594006752,6234
15-Aug-12,03-Sep-12,BANGALORE,FRAZER TOWN,Residential,Winvic Group ,1865,Carmela Ryan,5565,0.93,C,Dasia Brekke II,kanpur,8591,65722696,8226
16-Aug-12,04-Sep-12,BANGALORE,HEBBAL,Residential,Winvic Group ,1865,Carmela Ryan,5565,0.93,C,Dr. Aurelia Rosenbaum,nagpur,5652,49146966,9350
17-Aug-12,05-Sep-12,BANGALORE,KORAMANGALA,Residential,Winvic Group ,1865,Carmela Ryan,5565,0.93,C,Modesto Cartwright,indore,6458,39086658,6508
18-Aug-12,06-Sep-12,MUMBAI,CHEMBUR,Commercial,Winvic Group ,1865,Carmela Ryan,5565,0.93,C,Maurine Raynor,thane,14184,112929178,8561
19-Aug-12,07-Sep-12,MUMBAI,VILE PARLE,Commercial,Winvic Group ,1865,Carmela Ryan,5565,0.93,C,Kenyon Baumbach,bhopal,22264,148458578,7170
20-Aug-12,08-Sep-12,MUMBAI,VASAI,Commercial,Winvic Group ,1865,Carmela Ryan,5565,0.93,C,Dr. Maritza Koch,vishakapatnam,4000,20965920,5636
21-Aug-12,09-Sep-12,MUMBAI,JUHU,Commercial,Midas,1984,Elta Cartwright,8927,0.61,D,Maximo Bosco,pimpri-chinchwad,30212,160040215,8684
22-Aug-12,10-Sep-12,MUMBAI,AIROLI,Commercial,City Building (Glasgow),1918,Casimir Ritchie V,1315,0.5,C,Dr. Kacey O'Keefe,patna,22111,93606919,8467
23-Aug-12,11-Sep-12,MUMBAI,CHEMBUR,Residential,Dawnus,1964,Dale Turcotte I,8295,0.72,D,Deshawn Boyle Jr.,vadodra,16749,113827544,9439
24-Aug-12,12-Sep-12,MUMBAI,VILE PARLE,Residential,William Hare,1969,Tiffany Hudson,6016,0.37,A,Astrid Fisher III,ghaziabad,21623,44698849,5587
25-Aug-12,13-Sep-12,MUMBAI,VASAI,Residential,McNicholas Construction,1872,Arnold Weissnat DVM,7089,0.71,D,Henry Thiel,ludhiana,4359,20961690,6773
26-Aug-12,14-Sep-12,MUMBAI,JUHU,Residential,ESH Holdings,1849,Miss Kaci Hodkiewicz,7219,0.61,C,Mrs. Jody Altenwerth,agra,32736,120692394,6044
27-Aug-12,15-Sep-12,MUMBAI,AIROLI,Residential,North Midland Construction,1857,Haleigh DuBuque V,6986,0.27,B,Malachi Becker,nashik,21555,51022625,8767
28-Aug-12,16-Sep-12,DELHI,Mayur Vihar,Commercial,Ogilvie Group,1862,Gisselle Yost Jr.,9196,0.82,D,Clinton O'Kon,faridabad,9800,45130176,5616
29-Aug-12,17-Sep-12,DELHI,Chanakyapuri,Commercial,Barr ,1841,Rosalinda Pacocha,2233,0.52,B,Hulda Weimann,meerut,53000,234122200,8495
30-Aug-12,18-Sep-12,DELHI,Vasant Kunj,Commercial,Forth Holdings,1915,Johnny Pagac,9881,0.4,D,Donnie Treutel,rajkot,15900,43496040,6839
31-Aug-12,19-Sep-12,DELHI,Saket,Commercial,Bechtel,1809,Rafaela Hintz DVM,1909,0.28,E,Anastacio Swift PhD,kalyan-dombivali,20000,47336800,8453
01-Sep-12,20-Sep-12,DELHI,Pithampura,Commercial,GB Building Solutions,1891,Gordon Sauer DVM,5880,0.98,A,Ms. Eugenia Jenkins,asansol,32100,303538242,9649
02-Sep-12,21-Sep-12,DELHI,Mayur Vihar,Residential,Winvic Group ,1865,Carmela Ryan,5565,0.93,C,Wilton Schumm,nanded,9100,52326729,6183
03-Sep-12,22-Sep-12,DELHI,Chanakyapuri,Residential,Winvic Group ,1865,Carmela Ryan,5565,0.93,C,Mr. Joyce Kirlin,kolhapur,52000,258532560,5346
04-Sep-12,23-Sep-12,DELHI,Vasant Kunj,Residential,Winvic Group ,1865,Carmela Ryan,5565,0.93,C,Lillie Hegmann,ajmer,15400,101313828,7074
05-Sep-12,24-Sep-12,DELHI,Saket,Residential,Winvic Group ,1865,Carmela Ryan,5565,0.93,C,Aileen Sporer,gulbarga,19900,172966422,9346
06-Sep-12,25-Sep-12,DELHI,Pithampura,Residential,Winvic Group ,1865,Carmela Ryan,5565,0.93,C,Jamar Koepp,jamnagar,32000,181714560,6106
07-Sep-12,26-Sep-12,HYDERABAD,KUKATPALLY,Commercial,Lakehouse Contracts,1969,Laisha Bins MD,6540,0.19,B,Citlalli Hane,ujjain,3136,5887495,9881
08-Sep-12,27-Sep-12,HYDERABAD,JUBLIEE HILLS,Commercial,Bullock Construction,1844,Chaya Langosh,6738,0.42,D,Deja Schuster,loni,10258,33988652,7889
09-Sep-12,28-Sep-12,HYDERABAD,BANJARA HILLS,Commercial,McLaughlin & Harvey ,1830,Franco Gaylord,9027,0.57,E,Reuben Wunsch I,siliguri,68598,336306497,8601
10-Sep-12,29-Sep-12,HYDERABAD,KONDAPUR,Commercial,Brett Group,1940,Naomie Daniel,1452,0.21,C,Katrina Mills,jhansi,26184,36390000,6618
11-Sep-12,30-Sep-12,HYDERABAD,MIYAPUR,Commercial,Mulalley,1817,Fletcher Sauer PhD,3414,0.65,B,Cory Harvey,ulhasnagar,2994,14449793,7425
